country,year,sex,list,cause,cdr
GBRTENW,2011,3,short,3,18
GBRTENW,2011,3,short,4,119
GBRTENW,2011,3,short,5,575
GBRTENW,2011,3,short,6,337
GBRTENW,2011,3,short,7,1668
GBRTENW,2011,3,short,8,660
GBRTENW,2011,3,short,9,220
GBRTENW,2011,3,short,10,508
GBRTENW,2011,3,short,11,730
GBRTENW,2011,3,short,12,446
GBRTENW,2011,3,short,13,107
GBRTENW,2011,3,short,14,176
GBRTENW,2011,3,short,15,65
GBRTENW,2011,3,short,16,320
GBRTENW,2012,3,short,0,8827
GBRTENW,2012,3,short,1,92
GBRTENW,2012,3,short,2,2600
GBRTENW,2012,3,short,3,17
GBRTENW,2012,3,short,4,122
GBRTENW,2012,3,short,5,659
GBRTENW,2012,3,short,6,382
GBRTENW,2012,3,short,7,1687
GBRTENW,2012,3,short,8,654
GBRTENW,2012,3,short,9,221
GBRTENW,2012,3,short,10,506
GBRTENW,2012,3,short,11,778
GBRTENW,2012,3,short,12,442
GBRTENW,2012,3,short,13,109
GBRTENW,2012,3,short,14,179
GBRTENW,2012,3,short,15,64
GBRTENW,2012,3,short,16,315
GBRTENW,2013,3,short,0,8896
GBRTENW,2013,3,short,1,95
GBRTENW,2013,3,short,2,2581
GBRTENW,2013,3,short,3,17
GBRTENW,2013,3,short,4,122
GBRTENW,2013,3,short,5,698
GBRTENW,2013,3,short,6,403
GBRTENW,2013,3,short,7,1683
GBRTENW,2013,3,short,8,630
GBRTENW,2013,3,short,9,212
GBRTENW,2013,3,short,10,517
GBRTENW,2013,3,short,11,822
GBRTENW,2013,3,short,12,436
GBRTENW,2013,3,short,13,107
GBRTENW,2013,3,short,14,175
GBRTENW,2013,3,short,15,59
GBRTENW,2013,3,short,16,339
